127.0.0.1 - - [30/Mar/2022:14:41:32 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [30/Mar/2022:14:41:34 +0900] "GET /Assign2019305059/Assign3_project2/cookie_form(2019305059).jsp HTTP/1.1" 200 399
0:0:0:0:0:0:0:1 - - [30/Mar/2022:14:41:37 +0900] "GET /Assign2019305059/Assign3_project2/cookie_result(2019305059).jsp HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [30/Mar/2022:14:43:05 +0900] "GET /Assign2019305059/Assign3_project2/cookie_form(2019305059).jsp HTTP/1.1" 200 440
0:0:0:0:0:0:0:1 - - [30/Mar/2022:14:46:10 +0900] "GET /Assign2019305059/Assign3_project2/cookie_result(2019305059).jsp HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [30/Mar/2022:14:46:15 +0900] "GET /Assign2019305059/Assign3_project2/cookie_delete(2019305059).jsp HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [30/Mar/2022:14:49:45 +0900] "GET /Assign2019305059/Assign3_project2/cookie_delete(2019305059).jsp HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [30/Mar/2022:14:50:08 +0900] "GET /Assign2019305059/Assign3_project2/cookie_form(2019305059).jsp HTTP/1.1" 200 440
0:0:0:0:0:0:0:1 - - [30/Mar/2022:14:50:09 +0900] "GET /Assign2019305059/Assign3_project2/cookie_result(2019305059).jsp HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [30/Mar/2022:14:50:13 +0900] "GET /Assign2019305059/Assign3_project2/cookie_delete(2019305059).jsp HTTP/1.1" 200 213
0:0:0:0:0:0:0:1 - - [30/Mar/2022:14:50:14 +0900] "GET /Assign2019305059/Assign3_project2/cookie_result(2019305059).jsp HTTP/1.1" 500 2665
0:0:0:0:0:0:0:1 - - [30/Mar/2022:15:01:22 +0900] "GET /Assign2019305059/Assign3_project1/membership_input_form(2019305059).jsp HTTP/1.1" 200 1260
0:0:0:0:0:0:0:1 - - [30/Mar/2022:15:02:34 +0900] "GET /Assign2019305059/Assign3_project1/membership_input_form(2019305059).jsp HTTP/1.1" 200 1124
0:0:0:0:0:0:0:1 - - [30/Mar/2022:15:07:44 +0900] "GET /Assign2019305059/Assign3_project1/membership_input_form(2019305059).jsp HTTP/1.1" 200 1144
0:0:0:0:0:0:0:1 - - [30/Mar/2022:15:13:12 +0900] "GET /Assign2019305059/Assign3_project1/membership_input_form(2019305059).jsp HTTP/1.1" 200 1264
0:0:0:0:0:0:0:1 - - [30/Mar/2022:15:13:42 +0900] "GET /Assign2019305059/Assign3_project1/membership_input_form(2019305059).jsp HTTP/1.1" 200 1263
0:0:0:0:0:0:0:1 - - [30/Mar/2022:15:15:10 +0900] "GET /Assign2019305059/Assign3_project1/membership_input_form(2019305059).jsp HTTP/1.1" 200 1334
0:0:0:0:0:0:0:1 - - [30/Mar/2022:15:15:49 +0900] "GET /Assign2019305059/Assign3_project1/membership_input_form(2019305059).jsp HTTP/1.1" 200 1339
0:0:0:0:0:0:0:1 - - [30/Mar/2022:15:16:07 +0900] "GET /Assign2019305059/Assign3_project1/membership_input_form(2019305059).jsp HTTP/1.1" 200 1340
0:0:0:0:0:0:0:1 - - [30/Mar/2022:15:19:07 +0900] "GET /Assign2019305059/Assign3_project1/membership_input_form(2019305059).jsp HTTP/1.1" 200 1363
0:0:0:0:0:0:0:1 - - [30/Mar/2022:15:21:09 +0900] "GET /Assign2019305059/Assign3_project1/membership_input_form(2019305059).jsp HTTP/1.1" 200 1372
0:0:0:0:0:0:0:1 - - [30/Mar/2022:15:21:30 +0900] "GET /Assign2019305059/Assign3_project1/membership_input_form(2019305059).jsp HTTP/1.1" 200 1373
0:0:0:0:0:0:0:1 - - [30/Mar/2022:15:21:49 +0900] "GET /Assign2019305059/Assign3_project1/membership_input_form(2019305059).jsp HTTP/1.1" 200 1375
